Supercharger,Street Address ?,City,State,Zip,Country,Stalls,GPS,Elev.(m),Status,Open Date,Tesla,Discuss
"Newark, DE",null,Newark,DE,19725,USA,12,"39.6635, -75.69017",18,Open,null,SC,thread
"Girona-Hotel ibis, Spain",null,Girona,,,Spain,4,"41.998411, 2.817295",83,Open,null,SC,thread
"Hangzhou-Binjiang, China",null,Hangzhou,Zhejiang,310051,China,4,"30.178795, 120.218038",8,Open,null,SC,forum
"Price, UT",null,Price,UT,84501,USA,8,"39.600731, -110.831701","1,207",Open,null,SC,thread
"Ödeshög, Sweden",null,Ödeshög,,,Sweden,8,"58.227074, 14.668253",140,Open,null,SC,forum
"Mountain View, CA",null,Mountain View,CA,94043,USA,12,"37.415344, -122.076607",6,Open,null,SC,thread
"Barcelona, Spain",null,Barcelona,,,Spain,12,"41.499243, 2.072811",214,Construction,null,SC,thread
"Bakersfield, CA",null,Bakersfield,CA,93314,USA,10,"35.354643, -119.331607",93,Open,null,SC,thread
"Beijing Qing Bend Golf Club, China",null,Beijing,Beijing,,China,4,"40.032772, 116.391143",38,Open,null,SC,thread
"Jinan - Times Headquarter Base, China",null,Jinan,Shandong,,China,6,"36.709206, 116.956635",27,Open,null,SC,forum
"Brenner pass, Italy",null,Brennero,,,Italy,8,"46.993878, 11.500995","1,376",Open,null,SC,thread
"Ukiah, CA",null,Ukiah,CA,95482,USA,8,"39.1481, -123.208604",193,Open,null,SC,thread
"Changzhou - Changfa Mansion, China",null,Changzhou,Jiangsu,,China,6,"31.696607, 119.953329",6,Open,null,SC,forum
"Lifton, UK",null,Lifton,,PL16 0AA,United Kingdom,4,"50.643377, -4.284553",84,Construction,null,SC,forum
"Lexington, KY",null,Lexington,KY,40509,USA,8,"38.017955, -84.420664",310,Open,null,SC,thread
"Lutterberg, Germany",null,Staufenberg,,34355,Germany,6,"51.370996, 9.633307",376,Open,null,SC,thread
"Buellton, CA",null,Buellton,CA,93427,USA,10,"34.61456, -120.188387",114,Open,null,SC,forum
"Hohenwarsleben, Germany",null,Hohenwarsleben,,39326,Germany,6,"52.173963, 11.494255",131,Open,null,SC,thread
"Girona, Spain",null,Girona,,,Spain,10,"41.859029, 2.767237",132,Open,null,SC,forum
"Skibotn, Norway",null,Skibotn,,9143,Norway,6,"69.392448, 20.268423",1,Open,null,SC,thread
"Pau, France",null,Pau,,64000,France,8,"43.332257, -0.358762",210,Open,null,SC,forum
"Verviers, Belgium",null,Verviers,,087 30 56 56,Belgium,8,"50.592323, 5.848511",163,Open,null,SC,thread
